iter	RMSE
430	4.059056164
431	4.055702315
432	4.052729451
433	4.050520496
434	4.046649978
435	4.041949987
436	4.039312877
437	4.037503747
438	4.035294461
439	4.030730467
440	4.027383125
441	4.023269693
442	4.021114001
443	4.016952985
444	4.014511298
445	4.012237273
446	4.009868605
447	4.008510451
448	4.005003665
449	4.000777941
450	3.994774646
451	3.992801247
452	3.991359901
453	3.990239992
454	3.98835569
455	3.983633183
456	3.981732522
457	3.976406253
458	3.971895869
459	3.971073691
460	3.967474164
461	3.967168423
462	3.963590419
463	3.96079087
464	3.956210908
465	3.952565011
466	3.949285716
467	3.944933777
468	3.943472278
469	3.94158733
470	3.937553398
471	3.935078279
472	3.932720734
473	3.932427463
474	3.931006432
475	3.930707442
476	3.92768584
477	3.924807682
478	3.922444285
479	3.922160544
480	3.919401365
481	3.919121314
482	3.918855915
483	3.916544942
484	3.91566882
485	3.912930823
486	3.911132784
487	3.906954711
488	3.901355129
489	3.896206768
490	3.892397506
491	3.890652708
492	3.89042753
493	3.889621473
494	3.888241775
495	3.885712508
496	3.882034568
497	3.881833903
498	3.88158081
499	3.878929493
500	3.874623274
501	3.873635888
502	3.873381233
503	3.872595586
504	3.869603164
505	3.868987037
506	3.865201683
507	3.863715958
508	3.860151958
509	3.857328677
510	3.853677279
511	3.850679471
512	3.846600904
513	3.844927533
514	3.840597859
515	3.838834825
516	3.837236868
517	3.835774477
518	3.834971505
519	3.833789601
520	3.830374561
521	3.827131951
522	3.823842834
523	3.822472861
524	3.820722765
525	3.820428531
526	3.818563561
527	3.814966402
528	3.81286134
529	3.812036422
530	3.811764235
531	3.811527407
532	3.809819985
533	3.807547926
534	3.802467316
535	3.801865806
536	3.801660112
537	3.79839179
538	3.794170566
539	3.790531295
540	3.787738595
541	3.783843547
542	3.783238926
543	3.779614306
544	3.774882272
545	3.772564451
546	3.772235299
547	3.769090857
548	3.7686503
549	3.766843732
550	3.765370918
551	3.763351027
552	3.76133948
553	3.761143662
554	3.757503568
555	3.754922025
556	3.752578971
557	3.750971275
558	3.749636211
559	3.743842651
560	3.741916773
561	3.739151185
562	3.736403891
563	3.733515798
564	3.731837789
565	3.731646283
566	3.728216114
567	3.724885289
568	3.720438171
569	3.717606279
570	3.715899045
571	3.71570796
572	3.711823656
573	3.711155998
574	3.710926222
575	3.706462503
576	3.70627713
577	3.703073316
578	3.701706108
579	3.699430132
580	3.696222347
581	3.693314812
582	3.693129291
583	3.692046615
584	3.691873118
585	3.691322627
586	3.689767536
587	3.687215013
588	3.685365661
589	3.684828624
590	3.684546626
591	3.684353041
592	3.681135565
593	3.678340792
594	3.676503862
595	3.67292796
596	3.669986041
597	3.668500698
598	3.664684543
599	3.66306045
600	3.66059944
601	3.659004135
602	3.658777984
603	3.654938591
604	3.652386681
605	3.650252584
606	3.645402364
607	3.645233157
608	3.643203656
609	3.641886261
610	3.641553348
611	3.636943851
612	3.635638384
613	3.634394557
614	3.63041668
615	3.628171134
616	3.627080708
617	3.626922433
618	3.624630122
619	3.622059138
620	3.620449849
621	3.618105514
622	3.616568959
623	3.613935322
624	3.613178591
625	3.610341339
626	3.607324991
627	3.606911921
628	3.604668259
629	3.60188312
630	3.600462842
631	3.598720763
632	3.595455098
633	3.592442254
634	3.588766779
635	3.587300637
636	3.585848474
637	3.580825685
638	3.5770395
639	3.575856621
640	3.571977693
641	3.569465318
642	3.568065713
643	3.567145666
644	3.563607371
645	3.56069647
646	3.556877181
647	3.553334374
648	3.550351019
649	3.547008563
650	3.545631737
651	3.544193475
652	3.54275607
653	3.542259863
654	3.539876667
655	3.539696741
656	3.539533287
657	3.53668904
658	3.53634212
659	3.532867431
660	3.53203783
661	3.529594545
662	3.5292831
663	3.528576726
664	3.526698767
665	3.526185663
666	3.525164607
667	3.520774831
668	3.51914537
669	3.518937517
670	3.516631339
671	3.516318233
672	3.51614592
673	3.514560661
674	3.512095056
675	3.51160586
676	3.509447234
677	3.507564388
678	3.507263799
679	3.506348856
680	3.505764685
681	3.502077929
682	3.498928935
683	3.498791849
684	3.498207158
685	3.494007813
686	3.491412588
687	3.488435381
688	3.486598497
689	3.484672408
690	3.482680752
691	3.481496955
692	3.478757342
693	3.478451733
694	3.477989465
695	3.477563911
696	3.477046068
697	3.476894394
698	3.475920324
699	3.473058941
700	3.471641326
701	3.471497189
702	3.468246
703	3.468050874
704	3.467001423
705	3.466559652
706	3.462878245
707	3.462328318
708	3.460961423
709	3.459912639
710	3.457463743
711	3.456918482
712	3.454428587
713	3.453024976
714	3.452460535
715	3.452319133
716	3.4491216
717	3.446920547
718	3.445796918
719	3.445185228
720	3.441730317
721	3.44156074
722	3.438713276
723	3.435106093
724	3.433306051
725	3.433135815
726	3.431692149
727	3.429872565
728	3.426338269
729	3.42416882
730	3.424039507
731	3.422506344
732	3.421901507
733	3.418022946
734	3.416544657
735	3.415481799
736	3.415183597
737	3.414156772
738	3.413839301
739	3.411593173
740	3.410671489
741	3.41030243
742	3.410138476
743	3.40671306
744	3.406596287
745	3.403555957
746	3.400596022
747	3.400164921
748	3.397371361
749	3.395171038
750	3.392805984
751	3.392683949
752	3.392571915
753	3.389248138
754	3.386614429
755	3.384061021
756	3.383859581
757	3.381721857
758	3.378193458
759	3.375261824
760	3.373794362
761	3.373618366
762	3.37174369
763	3.368114815
764	3.367985987
765	3.365879529
766	3.363872768
767	3.361110504
768	3.359465002
769	3.358406675
770	3.356382956
771	3.35521365
772	3.354936646
773	3.351371005
774	3.348883308
775	3.346312976
776	3.344157187
777	3.341959899
778	3.339933268
779	3.339808609
780	3.337052796
781	3.336071635
782	3.335945075
783	3.333748142
784	3.332245394
785	3.331073727
786	3.329969433
787	3.328407731
788	3.3258681
789	3.323171692
790	3.321113718
791	3.318097778
792	3.316951268
793	3.316766979
794	3.314707967
795	3.313414974
796	3.31171923
797	3.308291083
798	3.308232733
799	3.307213287
800	3.30701163
801	3.304509268
802	3.304413963
803	3.302192033
804	3.299243694
805	3.29915402
806	3.296588152
807	3.296410743
808	3.294145478
809	3.292514741
810	3.291816487
811	3.290755018
812	3.289218146
813	3.289116689
814	3.287906106
815	3.286258324
816	3.285812137
817	3.284333687
818	3.282138139
819	3.281353808
820	3.281263385
821	3.281108731
822	3.278726444
823	3.277509551
824	3.277059568
825	3.276967994
826	3.276922861
827	3.275159174
828	3.274566102
829	3.274179847
830	3.274129792
831	3.273695163
832	3.271875453
833	3.271584912
834	3.269737607
835	3.269019703
836	3.26621931
837	3.265639544
838	3.263428593
839	3.262536115
840	3.25961386
841	3.258109815
842	3.255792616
843	3.252814609
844	3.250536242
845	3.248615945
846	3.246761885
847	3.244933462
848	3.242718476
849	3.239891649
850	3.236933857
851	3.236535869
852	3.236440586
853	3.235022097
854	3.232043626
855	3.231644097
856	3.229131805
857	3.227339813
858	3.225469733
859	3.223191697
860	3.220666833
861	3.219513694
862	3.217857635
863	3.216281151
864	3.214850348
865	3.212542059
866	3.211844793
867	3.209526452
868	3.207436166
869	3.205812871
870	3.204972361
871	3.202465456
872	3.200765496
873	3.200350808
874	3.198381633
875	3.195455117
876	3.193078765
877	3.191529287
878	3.190660504
879	3.189068238
880	3.188440931
881	3.187025558
882	3.184379055
883	3.180733705
884	3.179396208
885	3.177568944
886	3.177326188
887	3.175141204
888	3.172732511
889	3.171413845
890	3.169981014
891	3.169643404
892	3.168086932
893	3.166123964
894	3.164750882
895	3.163649827
896	3.162296262
897	3.162257762
898	3.160970058
899	3.160259259
900	3.159458692
901	3.157186964
902	3.156159668
903	3.154572461
904	3.152995896
905	3.15139475
906	3.151226355
907	3.148532408
908	3.146819506
909	3.144963125
910	3.142261037
911	3.140390878
912	3.139337907
913	3.138484483
914	3.136966002
915	3.135637439
916	3.13529506
917	3.134183681
918	3.134050016
919	3.132405918
920	3.131879771
921	3.130501514
922	3.128460338
923	3.125987444
924	3.124950799
925	3.123190662
926	3.122248736
927	3.120505307
928	3.120201977
929	3.120110815
930	3.119688947
931	3.119448582
932	3.119065253
933	3.117637616
934	3.115178741
935	3.113939286
936	3.113583189
937	3.113467444
938	3.110216081
939	3.108269347
940	3.108233185
941	3.107478343
942	3.105759001
943	3.104831115
944	3.103980717
945	3.103762368
946	3.103181336
947	3.101675122
948	3.099734145
949	3.094731583
950	3.092742383
951	3.09064404
952	3.089918564
953	3.087696864
954	3.086820535
955	3.085320878
956	3.083858366
957	3.082370301
958	3.081473826
959	3.080233912
960	3.077696619
961	3.077486127
962	3.077168158
963	3.074036017
964	3.072284759
965	3.071428098
966	3.070694648
967	3.067953992
968	3.065566247
969	3.063593838
970	3.063456451
971	3.062114798
972	3.060459824
973	3.058350205
974	3.056899218
975	3.055843345
976	3.055250991
977	3.053858752
978	3.053144682
979	3.051746449
980	3.051562684
981	3.050159756
982	3.048986434
983	3.047807198
984	3.047654081
985	3.045457575
986	3.044410746
987	3.042646555
988	3.041274643
989	3.039015634
990	3.037601386
991	3.036858456
992	3.034707656
993	3.03345095
994	3.031987937
995	3.03171265
996	3.029266031
997	3.027633914
998	3.025568683
999	3.024301434
